subject,predicate,object,chunk
apple inc.,files,form 10-k,1
form 10-k,is report type,annual report,1
apple inc.,fiscal year ends,"september 28, 2024",1
apple inc.,has commission file number,001-36743,1
apple inc.,incorporated in, california,1
apple inc.,has irs ein,94-2404110,1
apple inc.,principal office address,"one apple park way, cupertino, california 95014",1
apple inc.,has telephone number,(408) 996-1010,1
apple inc. common stock,has trading symbol,aapl,1
apple inc. common stock,registered on,the nasdaq stock market llc,1
apple inc.,files,form 10-k,1
form 10-k,is report type,annual report,1
apple inc.,fiscal year ends,"september 28, 2024",1
apple inc.,has commission file number,001-36743,1
apple inc.,incorporated in, california,1
apple inc.,has irs ein,94-2404110,1
apple inc.,principal office address,"one apple park way, cupertino, california 95014",1
apple inc.,has telephone number,(408) 996-1010,1
apple inc. common stock,has trading symbol,aapl,1
apple inc. common stock,registered on,the nasdaq stock market llc,1
the nasdaq stock market llc,issued,3.050% notes due 2029,2
the nasdaq stock market llc,issued,0.500% notes due 2031,2
the nasdaq stock market llc,issued,3.600% notes due 2042,2
apple inc.,has,no securities registered under section 12(g),2
apple inc.,is,well-known seasoned issuer,2
apple inc.,is,required to file reports pursuant to section 13 or 15(d),2
apple inc.,has filed,all reports required by section 13 or 15(d),2
apple inc.,has submitted,every interactive data file required by rule 405 of regulation s-t,2
apple inc.,is a,large accelerated filer,3
apple inc.,is not an,emerging growth company,3
apple inc.,filed,report on management's assessment of effectiveness of internal control over financial reporting,3
apple inc.,filed,attestation to management's assessment of effectiveness of internal control over financial reporting,3
report on management's assessment of effectiveness of internal control over financial reporting,is under,section 404(b) of the sarbanes-oxley act,3
attestation to management's assessment of effectiveness of internal control over financial reporting,is under,section 404(b) of the sarbanes-oxley act,3
registered public accounting firm,prepared,audit report,3
registered public accounting firm,issued,audit report,3
apple inc.,is,not a shell company,4
apple inc.,had market value,"$2,628,553,000,000 as of march 29, 2024",4
apple inc.,had outstanding common shares,"15,115,823,000 as of october 18, 2024",4
apple inc.,incorporates,portions of definitive proxy statement,4
portions of definitive proxy statement,relate to,2025 annual meeting of shareholders,4
portions of definitive proxy statement,incorporated into,part iii of annual report on form 10-k,4
apple inc.,will file with,u.s. securities and exchange commission,4
apple inc. form 10-k,is for fiscal year ended,"september 28, 2024",4
apple inc. form 10-k,contains,table of contents,4
apple inc.,files,form 10-k,5
form 10-k,covers fiscal year ended,"september 28, 2024",5
form 10-k,includes item,item 1. business,5
form 10-k,includes item,item 1a. risk factors,5
form 10-k,includes item,item 7. management’s discussion and analysis of financial condition and results of operations,5
form 10-k,includes item,item 8. financial statements and supplementary data,5
form 10-k,includes item,item 15. exhibit and financial statement schedules,5
item 1. business,starts on page,1,5
item 1a. risk factors,starts on page,5,5
item 8. financial statements and supplementary data,starts on page,28,5
apple inc.,includes item,item 1 business,6
apple inc.,includes item,item 1a risk factors,6
apple inc.,includes item,item 1b unresolved staff comments,6
apple inc.,includes item,item 1c cybersecurity,6
apple inc.,includes item,item 2 properties,6
apple inc.,includes item,item 3 legal proceedings,6
apple inc.,includes item,item 4 mine safety disclosures,6
apple inc.,includes item,"item 5 market for registrant’s common equity, related stockholder matters and issuer purchases of equity securities",6
apple inc.,includes item,item 6 [reserved],6
apple inc.,includes item,item 7 management’s discussion and analysis of financial condition and results of operations,6
form 10-k,contains,forward-looking statements,7
forward-looking statements,involve,risks and uncertainties,7
forward-looking statements,within meaning of,private securities litigation reform act of 1995,7
many forward-looking statements,located in,"part i, item 1 of form 10-k",7
"part i, item 1 of form 10-k",under heading,business,7
statements in form 10-k regarding potential future impact of macroeconomic conditions,are,forward-looking statements,7
potential future impact of macroeconomic conditions,impacts,apple inc.’s business and results of operations,7
apple inc.’s actual results,may differ from,results discussed in forward-looking statements,7
factors causing differences,discussed in,"part i, item 1a of form 10-k",7
"part i, item 1a of form 10-k",under heading,risk factors,7
apple inc.,designs,smartphones,8
apple inc.,manufactures,smartphones,8
apple inc.,markets,smartphones,8
apple inc.,sells,services,8
apple inc.,fiscal year ends,september,8
iphone,is,smartphone line,8
iphone,uses,ios operating system,8
mac,is,personal computer line,8
mac,uses,macos operating system,8
mac line,includes,macbook air,8
apple inc.,offers line of,mac,9
mac,based on,macos operating system,9
mac line,includes,macbook air,9
apple inc.,offers line of,ipad,9
ipad,based on,ipados operating system,9
apple inc.,offers line of,smartwatches,9
smartwatches line,based on,watchos operating system,9
apple vision pro,based on,visionos operating system,9
apple tv,based on,tvos operating system,9
apple inc.,offers portfolio of,fee-based service and support products,9
apple inc.,offers,applecare brand,10
apple inc.,provides access to,apple technical support,10
apple inc.,offers,cloud services,10
apple inc.,operates,app store,10
apple inc.,offers,apple arcade,10
apple inc.,offers,apple music,10
apple inc.,offers,apple tv+,10
apple inc.,offers,apple card,10
apple inc.,offers,apple pay,10
apple inc.,manages business,geographically,10
apple inc.,manages business,geographically,11
apple inc.,has segment,americas,11
apple inc.,has segment,europe,11
apple inc.,has segment,greater china,11
americas,includes,north america,11
europe,includes,india,11
greater china,includes,china mainland,11
apple inc.,serves market,consumer,11
apple inc.,sells through,retail stores,11
apple inc.,uses indirect channel,wholesalers,11
apple inc.,direct sales were,38% of total net sales in 2024,11
apple inc. markets,are,highly competitive,12
apple inc. markets,characterized by,aggressive price competition,12
aggressive price competition,causes,downward pressure on gross margins,12
apple inc. competitors,compete through,aggressive pricing,12
apple inc. competitors,imitate,apple inc. products,12
apple inc. competitors,infringe on,apple inc. intellectual property,12
apple inc. ability to compete,depends on,introduction of innovative products,12
apple inc.,designs,solution for products,12
apple inc.,designs,hardware,12
apple inc.,designs,operating system,12
apple inc.,focuses on,expanding market opportunities,13
apple inc.,focuses on,smartphones market,13
apple inc.,focuses on,services market,13
apple inc.,faces,substantial competition,13
apple inc.,faces competition in,smartphones market,13
apple inc.,services compete with,business models,13
competitors,imitate,apple inc. product features,13
competitors,imitate,apple inc. applications,13
competitors,offer,integrated solutions,13
competitors,cut prices,aggressively,13
apple inc.,obtains components from,single sources,14
apple inc.,obtains components from,limited sources,14
apple inc.,competes for,components,14
apple inc.,competes in,smartphone market,14
apple inc.,competes in,personal computer market,14
apple inc.,competes in,tablet market,14
apple inc.,uses,custom components,14
components used by apple inc.,subject to,shortage,14
components used by apple inc.,subject to,pricing fluctuations,14
apple inc.,entered into,supply agreements,14
apple inc.,uses,common components,15
apple inc.,enters agreements for,component supply,15
apple inc.,competes in industries with,rapid technological advances,15
apple inc.,develops,new technologies,15
apple inc.,expands offerings via,research and development,15
apple inc.,expands offerings via,intellectual property licensing,15
apple inc.,expands offerings via,acquisition,15
apple inc.,holds,intellectual property rights,15
intellectual property rights,include,patents,15
intellectual property rights,include,trademarks,15
apple inc.,relies on,innovative skills of personnel,16
apple inc.,relies on,technical competence of personnel,16
apple inc.,relies on,marketing abilities of personnel,16
apple inc.,files,patent applications,16
apple inc.,files,trademark applications,16
apple inc.,protects,innovations,16
apple inc.,pursues,thousands of applications,16
apple inc.,accumulated,large portfolio of intellectual property rights,16
apple inc. products,include,intellectual property owned by third parties,16
apple inc.,may seek,licenses,16
apple inc.,filed,2024 form 10-k,17
apple inc.,experiences,higher net sales in first quarter,17
new product introductions,impact,net sales,17
timing of product introductions,impacts,net sales to indirect channels,17
apple inc.,strives to,attract talent,17
apple inc.,strives to,develop talent,17
apple inc.,strives to,retain talent,17
apple inc.,had,"164,000 employees as of september 28, 2024",17
apple inc.,believes,compensation should be competitive,17
apple inc.,believes,compensation should be equitable,17
apple inc.,offers,health benefits,18
apple inc.,offers,wellness benefits,18
apple inc.,offers,time away benefits,18
apple inc.,invests in,employee development,18
apple inc.,offers programs through,apple university,18
apple inc.,offers,leadership programs,18
apple inc.,is,equal opportunity employer,18
apple inc.,committed to,inclusion,18
apple inc.,committed to,diversity,18
apple inc.,fosters,inclusive culture,18
apple inc.,believes communication creates,collaborative work environment,19
apple inc.,conducts,surveys,19
surveys,gauge,employee sentiment,19
apple inc.,protects,team members,19
apple inc.,identifies,potential workplace risks,19
apple inc.,supports with training,employees,19
apple inc.,files,annual reports on form 10-k,19
apple inc.,files with,u.s. securities and exchange commission,19
reports,pursuant to,sections 13(a) and 15(d),19
apple inc.,files reports with,u.s. securities and exchange commission,20
reports filed by apple inc.,available at,investor.apple.com/investor-relations/sec-filings/default.aspx,20
reports filed by apple inc.,available on,sec's website,20
apple inc.,provides information on,www.apple.com,20
apple inc.,provides information on,investor.apple.com,20
information provided,includes,press releases,20
information provided,includes,financial performance,20
risk factors,affect,apple inc.'s business,20
risk factors,affect,apple inc.'s stock price,20
risks,can adversely affect,apple inc.'s business,20
apple inc.,operations depend on,global economic conditions,21
apple inc.,performance depend on,global economic conditions,21
